Team_ID,Player_ID,Team,Team_Image,Profile_Main_Characteristic,Competition,Competition_ID,Season,Matches_Played,Minutes,Start_Line_UP_Percent
19,20,PEC Zwolle,https://capology-e6a3.kxcdn.com/static/images/logos/ne/pec-zwolle.svg,Offensive Winger Back,Eredivisie,12,2023-2024,29,2272,93.0
20,21,Nottingham Forest,https://capology-e6a3.kxcdn.com/static/images/logos/uk/nottingham-forest.svg,Changed Leg Left Winger,Premier League,3,2023-2024,36,2501,72.0
21,22,Newcastle,https://capology-e6a3.kxcdn.com/static/images/logos/uk/newcastle.svg,Changed Leg Left Winger,Premier League,3,2023-2024,45,3573,93.0
22,23,Feyenoord,https://capology-e6a3.kxcdn.com/static/images/logos/ne/feyenoord.svg,Playmaker Centre Midfielder,Eredivisie,12,2023-2024,13,276,24.0
23,24,Club Brugge,https://capology-e6a3.kxcdn.com/static/images/logos/be/club-brugges.svg,Changed Leg Left Winger,Belgium Pro League,6,2023-2024,41,2077,51.0
24,25,Midtjylland,https://capology-e6a3.kxcdn.com/static/images/logos/dk/midtjylland.svg,Changed Leg Left Winger,Superliga Denmark,9,2023-2024,29,1913,82.0
25,26,KAA Gent,https://capology-e6a3.kxcdn.com/static/images/logos/be/gent.svg,Offensive Right Winger Back,Belgium Pro League,6,2023-2024,37,2894,92.0
26,27,Leeds United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leeds.svg,Physical Right Centre Midfielder,Championship,1,2023-2024,48,3940,92.0
27,28,Greuther Fürth,https://capology-e6a3.kxcdn.com/static/images/logos/de/furth.svg,Dribbler Attacking Midfielder,Bundesliga 2,13,2023-2024,32,2074,75.0
28,29,Le Havre,https://capology-e6a3.kxcdn.com/static/images/logos/fr/le-havre.svg,Technical Right CenterBack,Ligue 1,11,2023-2024,29,2600,100.0
29,30,Atletico Madrid,https://capology-e6a3.kxcdn.com/static/images/logos/es/atletico-madrid.svg,Physical Centre Midfielder,La Liga,8,2023-2024,3,84,33.0
30,31,Plymouth Argyle,https://capology-e6a3.kxcdn.com/static/images/logos/uk/plymouth.svg,Technical Right CenterBack,Championship,1,2023-2024,19,1473,89.0
31,32,Lorient,https://capology-e6a3.kxcdn.com/static/images/logos/fr/lorient.svg,Playmaker Centre Midfielder,Ligue 1,11,2023-2024,15,919,80.0
32,33,Lille ,https://capology-e6a3.kxcdn.com/static/images/logos/fr/lille.svg,Physical Centre Midfielder,Ligue 1,11,2023-2024,18,694,39.0
33,34,Real Madrid,https://capology-e6a3.kxcdn.com/static/images/logos/es/real-madrid.svg,Dribbler Attacking Midfielder,La Liga,8,2023-2024,8,166,25.0
34,35,Brighton & Hove Albion,https://capology-e6a3.kxcdn.com/static/images/logos/uk/brighton.svg,Aerial Play & 1Vs1 Especialist,Premier League,3,2023-2024,27,2430,100.0
35,36,Nantes,https://cdn.resfu.com/img_data/escudos/medium/6805.jpg?size=120x&lossy=1,Technical Left CenterBack,Ligue 1,11,2023-2024,3,240,100.0
36,37,RB Leipzig,https://capology-e6a3.kxcdn.com/static/images/logos/de/leipzig.svg,Box Centre Forward,Bundesliga,2,2023-2024,42,2057,60.0
37,38,Ajax,https://capology-e6a3.kxcdn.com/static/images/logos/ne/ajax.svg,Defensive Technical Midfielder,Eredivisie,12,2023-2024,37,2377,70.0
38,39,Genk,https://capology-e6a3.kxcdn.com/static/images/logos/be/genk.svg,Technical Attacking Midfielder,Belgium Pro League,6,2023-2024,50,3964,90.0
39,41,Liverpool,https://capology-e6a3.kxcdn.com/static/images/logos/uk/liverpool.svg,Attacking Left Midfielder,Premier League,3,2023-2024,12,1003,92.0
40,42,PSG,https://capology-e6a3.kxcdn.com/static/images/logos/fr/psg.svg,Changed Leg Left Winger ,Ligue 1,11,2023-2024,39,2098,68.0
41,43,Stade Brestois,https://capology-e6a3.kxcdn.com/static/images/logos/fr/brest.svg,Defensive Left Back,Ligue 1,11,2023-2024,35,3141,100.0
42,44,Maninz 05,https://capology-e6a3.kxcdn.com/static/images/logos/de/mainz.svg,Changed Leg Right Winger ,Bundesliga,2,2023-2024,29,1740,70.0
